FID	OBJECTID	SYSTEMSTOP	STREET	CROSS_ST	DIR	POS	ROUTESSTPG	OWLROUTES	CITY	STATUS	PUBLIC_NAM	POINT_X	POINT_Y
5059	5060	9817	HIGGINS	NORDICA	NWB	NS	88	 	CHICAGO	1	Higgins & Nordica	-87.80226567	41.98017093
5060	5061	2572	COTTAGE GROVE	69TH STREET	SB	NS	4	 	CHICAGO	1	Cottage Grove & 69th Street	-87.60579646	41.76958568
5061	5062	8090	47TH STREET	WESTERN BOULEVARD	WB	NS	47	 	CHICAGO	1	47th Street & Western Boulevard	-87.68362468	41.80847329
5062	5063	7793	PERSHING	SACRAMENTO	WB	NS	39	 	CHICAGO	1	Pershing & Sacramento	-87.6994313	41.82274463
5063	5064	8004	43RD STREET	GREEN LINE STATION	WB	MB	43	 	CHICAGO	1	43rd Green Line Station	-87.61897865	41.81666528
5064	5065	4807	FOSTER	HOYNE	WB	NS	92	 	CHICAGO	1	Foster & Hoyne	-87.68180995	41.97604226
5065	5066	996	NORTH AVENUE	NATOMA	WB	FT	72	 	CHICAGO	1	North Ave & Natoma	-87.79097193	41.9091393
5066	5067	10875	75TH STREET	DREXEL	WB	NS	75	 	CHICAGO	1	75th Street & Drexel	-87.60279733	41.75868373
5067	5068	4657	63RD STREET	NATCHEZ	EB	NS	63W	 	CHICAGO	1	63rd Street & Natchez	-87.78386762	41.7775804
5068	5069	9108	PULASKI	LE MOYNE	NB	NS	53	N53	CHICAGO	1	Pulaski & Le Moyne	-87.726367	41.90795979
5069	5070	1517	S HYDE PARK	56TH STREET	NB	NS	"6,28,55"	N55	CHICAGO	1	S Hyde Park & 56th Street	-87.58380228	41.79331587
5070	5071	2523	COTTAGE GROVE	36TH STREET	NB	NS	4	N4	CHICAGO	1	Cottage Grove & 36th Street	-87.60941632	41.82903609
5071	5072	12924	PULASKI	62ND STREET (vacated)	NB	NT	53A	 	CHICAGO	1	Pulaski & 62nd Street	-87.72263893	41.78038655
5072	5073	10553	55TH STREET	DREXEL	EB	NS	55	N55	CHICAGO	1	55th Street & Drexel	-87.60373689	41.79489319
5073	5074	11439	PETERSON	ROGERS	EB	NS	84	 	CHICAGO	1	Peterson & Rogers	-87.73320923	41.98997105
5074	5075	8057	43RD STREET	ST. LAWRENCE	EB	NS	43	 	CHICAGO	1	43rd Street & St. Lawrence	-87.61173556	41.81667349
5075	5076	2986	131ST STREET	RHODES	EB	NS	34	N34	CHICAGO	1	131st Street & Rhodes	-87.609858	41.65733
5076	5077	12547	ADDISON	PINE GROVE	EB	NS	152	 	CHICAGO	1	Addison & Pine Grove	-87.6455957	41.94784445
5077	5078	1303	FULLERTON	LECLAIRE	EB	NS	74	 	CHICAGO	1	Fullerton & Leclaire	-87.75379947	41.92405194
5078	5079	2707	ST.LAURENCE HS	NORTH ENTRANCE	EB	MB	54B	 	BURBANK	2	St. Laurence/Queen of Peace H.S.	-87.760007	41.754323
5079	5080	7033	S. SHORE DRIVE	70TH STREET	NB	FT	"6,26"	 	CHICAGO	1	S. Shore Drive & 70th Street	-87.56643403	41.76831435
5080	5081	4665	NARRAGANSETT	56TH STREET	NB	NS	55N	 	CHICAGO	1	Narragansett & 56th Street	-87.781659	41.790425
5081	5082	4208	CALIFORNIA	WILCOX	NB	NS	94	 	CHICAGO	1	California & Wilcox	-87.69615585	41.87918079
5082	5083	4160	CALIFORNIA	52ND STREET	NB	NS	94	 	CHICAGO	1	California & 52nd Street	-87.69382591	41.79907737
5083	5084	10522	GARFIELD	HAMILTON	EB	FS	55	N55	CHICAGO	1	Garfield & Hamilton	-87.67785884	41.79347695
5084	5085	13007	61ST STREET	EBERHART	EB	NS	59	 	CHICAGO	1	61st Street & Eberhart	-87.613384	41.783862
5085	5086	8621	ASHLAND	BERWYN	NB	NS	50	 	CHICAGO	1	Ashland & Berwyn	-87.669574	41.977902
5086	5087	2830	COTTAGE GROVE	104TH STREET	SB	FT	"4,115"	 	CHICAGO	1	Cottage Grove & 104th Street	-87.60701713	41.70554314
5087	5088	10468	CICERO	ESTES	SB	NT	54A	 	LINCOLNWOOD	1	Cicero & Estes	-87.7480279	42.00996934
5088	5089	1080	STOCKTON	ARLINGTON	SB	MB	"134,143,151,156"	 	CHICAGO	1	Stockton & Arlington	-87.63777472	41.92648805
5089	5090	8798	DAMEN	80TH STREET	SB	NS	48	 	CHICAGO	1	Damen & 80th Street	-87.673151	41.748414
5090	5091	10253	CICERO	POLK	SB	NS	54	 	CHICAGO	1	Cicero & Polk	-87.744976	41.870337
5091	5092	3067	KEDZIE	driveway to 3448 SOUTH	SB	MB	"35,52"	 	CHICAGO	1	3448 S Kedzie	-87.70471624	41.83105205
5092	5093	12247	AVENUE C	107TH STREET	SB	NS	100	 	CHICAGO	1	Avenue C & 107th Street	-87.52702479	41.70096038
